blueWins,blueKillDiff,blueAssistsDiff,blueAvgLvlDiff,blueTowerDestroyedDiff,blueCSPerMinDiff,dragTeam,heraldTeam,fbTeam
0,0.6666666666666666,0.6249999999999999,0.6,0,0.5951417004048584,-1,1,-1
0,0.4242424242424242,0.43749999999999994,0.0,0,0.51417004048583,-1,-1,-1
0,0.5757575757575757,0.6041666666666666,0.2,0,0.6518218623481782,1,-1,-1
1,0.2727272727272727,0.41666666666666663,-1.0,0,0.3765182186234818,-1,0,-1
0,0.45454545454545453,0.39583333333333326,0.2,0,0.5546558704453441,-1,0,-1
1,0.6363636363636364,0.6458333333333333,0.2,0,0.5384615384615385,-1,-1,1
1,0.5757575757575757,0.6041666666666666,0.4,0,0.51417004048583,1,0,-1
1,0.36363636363636365,0.27083333333333326,0.2,0,0.5668016194331984,1,-1,1
0,0.36363636363636365,0.45833333333333326,-0.6,0,0.4696356275303644,1,1,-1
1,0.6060606060606061,0.5416666666666666,0.2,0,0.3319838056680162,0,0,-1
0,0.2727272727272727,0.43749999999999994,-0.8,0,0.38866396761133604,0,0,1
1,0.696969696969697,0.6249999999999999,0.6,0,0.45344129554655876,1,0,1
0,0.45454545454545453,0.4791666666666666,-0.4,0,0.4777327935222672,1,1,1
1,0.4242424242424242,0.43749999999999994,-0.4,0,0.4696356275303644,0,0,1
1,0.5757575757575757,0.6874999999999999,-0.2,0,0.51417004048583,1,0,1
0,0.3939393939393939,0.45833333333333326,-0.2,0,0.20242914979757087,-1,0,-1
0,0.5151515151515151,0.5416666666666666,0.4,0,0.4210526315789474,-1,1,1
0,0.5151515151515151,0.5624999999999999,0.0,0,0.6113360323886641,1,-1,-1
0,0.3333333333333333,0.39583333333333326,-1.2,0,0.3157894736842105,-1,0,-1
1,0.5454545454545454,0.5624999999999999,-0.2,0,0.417004048582996,1,-1,-1
1,0.6060606060606061,0.6249999999999999,0.2,0,0.38866396761133604,-1,0,1
0,0.303030303030303,0.33333333333333326,-0.6,0,0.2753036437246964,-1,0,-1
1,0.5757575757575757,0.5624999999999999,0.2,0,0.4453441295546559,1,0,1
1,0.303030303030303,0.39583333333333326,-1.0,0,0.340080971659919,1,0,-1
1,0.5757575757575757,0.5416666666666666,0.4,0,0.5263157894736843,1,0,-1
0,0.48484848484848486,0.49999999999999994,-0.4,0,0.4898785425101215,0,-1,-1
1,0.5757575757575757,0.5416666666666666,0.0,0,0.5587044534412956,0,0,-1
1,0.696969696969697,0.6874999999999999,0.6,0,0.5222672064777328,-1,0,-1
1,0.6060606060606061,0.6874999999999999,0.2,0,0.5344129554655871,1,0,1
1,0.5151515151515151,0.5833333333333333,0.0,0,0.43724696356275305,-1,0,1
1,0.4242424242424242,0.35416666666666663,-0.8,0,0.5708502024291499,1,0,1
0,0.45454545454545453,0.39583333333333326,-0.6,0,0.38461538461538464,-1,0,-1
1,0.4242424242424242,0.29166666666666663,0.2,0,0.8299595141700405,1,0,-1
1,0.5757575757575757,0.6666666666666665,-0.2,0,0.38056680161943324,1,-1,1
1,0.7575757575757576,0.6874999999999999,0.6,0,0.6315789473684211,-1,1,1
1,0.5151515151515151,0.49999999999999994,0.4,0,0.4736842105263158,-1,0,-1
0,0.48484848484848486,0.4791666666666666,0.0,0,0.49797570850202433,1,-1,-1
0,0.36363636363636365,0.31249999999999994,0.0,0,0.4777327935222672,0,0,1
0,0.18181818181818177,0.31249999999999994,-1.2,0,0.41295546558704455,0,0,-1
1,0.5454545454545454,0.5833333333333333,0.0,0,0.7327935222672065,-1,-1,1
0,0.45454545454545453,0.49999999999999994,-0.4,0,0.29554655870445345,0,0,1
1,0.6666666666666666,0.7291666666666665,-0.2,0,0.45748987854251016,-1,-1,-1
1,0.7575757575757576,0.7708333333333333,0.4,0,0.4453441295546559,0,0,1
1,0.303030303030303,0.31249999999999994,-0.6,1,0.5506072874493928,-1,1,-1
0,0.36363636363636365,0.41666666666666663,-0.6,0,0.2834008097165992,1,1,-1
1,0.6363636363636364,0.7499999999999999,0.0,0,0.51417004048583,0,0,1
0,0.5454545454545454,0.5416666666666666,-0.2,0,0.5789473684210527,0,0,1
0,0.5757575757575757,0.5624999999999999,-0.2,0,0.5020242914979758,1,-1,1
0,0.5151515151515151,0.45833333333333326,-0.2,0,0.6275303643724697,0,0,-1
0,0.5757575757575757,0.6458333333333333,0.4,0,0.26720647773279355,1,1,-1
0,0.48484848484848486,0.49999999999999994,-0.2,0,0.5182186234817814,-1,1,-1
0,0.2727272727272727,0.24999999999999994,-0.2,0,0.4736842105263158,-1,-1,-1
0,0.3939393939393939,0.4791666666666666,0.0,0,0.6963562753036437,-1,0,1
1,0.7575757575757576,0.6041666666666666,1.2,0,0.5425101214574899,1,1,-1
1,0.6666666666666666,0.6666666666666665,0.6,1,0.49797570850202433,0,0,-1
0,0.303030303030303,0.39583333333333326,-1.2,0,0.2995951417004049,-1,-1,1
1,0.5151515151515151,0.5208333333333333,0.0,0,0.40890688259109315,-1,0,-1
1,0.5454545454545454,0.5624999999999999,0.2,1,0.6032388663967612,0,0,1
1,0.6363636363636364,0.6458333333333333,0.4,0,0.4696356275303644,1,-1,1
1,0.6666666666666666,0.6666666666666665,0.2,0,0.4898785425101215,1,1,1
1,0.48484848484848486,0.45833333333333326,0.0,0,0.4817813765182187,1,0,-1
0,0.5757575757575757,0.6249999999999999,0.0,0,0.5303643724696356,1,-1,-1
1,0.5151515151515151,0.5416666666666666,0.0,0,0.5587044534412956,-1,0,1
0,0.3939393939393939,0.4791666666666666,-0.2,0,0.31983805668016196,-1,0,-1
0,0.5151515151515151,0.45833333333333326,-0.2,0,0.4777327935222672,-1,0,1
0,0.48484848484848486,0.45833333333333326,-0.6,0,0.5384615384615385,-1,0,1
1,0.6363636363636364,0.5833333333333333,0.6,0,0.785425101214575,1,-1,1
0,0.45454545454545453,0.43749999999999994,-0.4,0,0.45344129554655876,-1,-1,1
1,0.5454545454545454,0.5208333333333333,0.2,0,0.4777327935222672,0,1,-1
0,0.5151515151515151,0.4791666666666666,0.0,0,0.340080971659919,-1,-1,1
1,0.5151515151515151,0.5208333333333333,-0.4,0,0.5384615384615385,1,-1,1
0,0.36363636363636365,0.43749999999999994,-0.6,0,0.42914979757085026,1,0,-1
1,0.5151515151515151,0.49999999999999994,0.4,0,0.6518218623481782,-1,0,-1
1,0.6363636363636364,0.6041666666666666,0.2,0,0.5829959514170041,0,0,1
0,0.3333333333333333,0.37499999999999994,-0.8,-1,0.40485829959514175,0,-1,-1
1,0.5454545454545454,0.4791666666666666,0.4,0,0.5991902834008097,1,0,1
